Date	WSPD	WVHT	u10
2013-12-31 23:50:00	13.6	1.81	13.649364346028381
2014-01-01 00:50:00	13.0	1.94	13.047186507233011
2014-01-01 01:50:00	11.7	1.96	11.742467856509709
2014-01-01 02:50:00	11.0	1.97	11.039927044581779
2014-01-01 03:50:00	11.5	1.86	11.541741910244587
2014-01-01 04:50:00	10.8	1.81	10.839201098316655
2014-01-01 05:50:00	11.5	1.79	11.541741910244587
2014-01-01 06:50:00	10.0	1.67	10.036297313256162
2014-01-01 07:50:00	10.0	1.45	10.036297313256162
2014-01-01 08:50:00	9.3	1.33	9.333756501328232
2014-01-01 09:50:00	8.5	1.27	8.530852716267738
2014-01-01 10:50:00	9.6	1.3	9.634845420725915
2014-01-01 11:50:00	9.1	1.34	9.133030555063108
2014-01-01 12:50:00	8.1	1.39	8.129400823737491
2014-01-01 13:50:00	8.1	1.28	8.129400823737491
2014-01-01 14:50:00	8.5	1.21	8.530852716267738
2014-01-01 15:50:00	7.2	1.07	7.2261340655444375
2014-01-01 16:50:00	6.3	1.04	6.322867307351383
2014-01-01 17:50:00	7.2	0.9	7.2261340655444375
2014-01-01 18:50:00	6.7	0.87	6.72431919988163
2014-01-01 19:50:00	6.8	0.83	6.824682173014191
2014-01-01 20:50:00	5.1	0.78	5.118511629760643
2014-01-01 21:50:00	4.8	0.64	4.817422710362957
2014-01-01 22:50:00	3.2	0.61	3.2116151402419724
2014-01-01 23:50:00	2.0	0.55	2.0072594626512323
2014-01-02 00:50:00	2.1	0.51	2.107622435783794
2014-01-02 01:50:00	2.6	0.44	2.609437301446602
2014-01-02 02:50:00	3.4	0.39	3.4123410865070953
2014-01-02 03:50:00	4.4	0.35	4.4159708178327115
2014-01-02 04:50:00	5.0	0.32	5.018148656628081
2014-01-02 05:50:00	6.7	0.35	6.72431919988163
2014-01-02 06:50:00	7.2	0.43	7.2261340655444375
2014-01-02 07:50:00	7.9	0.55	7.928674877472369
2014-01-02 08:50:00	9.1	0.85	9.133030555063108
2014-01-02 09:50:00	9.9	1.14	9.935934340123602
2014-01-02 10:50:00	11.6	1.5	11.642104883377149
