,Unnamed: 0,time,lon,lat,swh,wind_speed_alt
19,19,2014-08-26 10:19:13.157855040,288.723427,40.934677,1.097,1.8399999
20,20,2014-08-26 10:19:14.194844992,288.703035,40.995472,1.1159999999999999,1.62
21,21,2014-08-26 10:19:16.268829120,288.662162,41.117052,1.0190000000000001,2.02
22,22,2014-08-26 10:19:18.342813952,288.62117,41.238621,1.011,2.4099998
41,41,2014-09-03 23:19:19.884088064,288.662892,41.211967,0.68500006,3.1499999
42,42,2014-09-03 23:19:20.921078912,288.642396,41.151183,0.61,3.1499999
43,43,2014-09-03 23:19:21.958070976,288.62193,41.090396000000005,0.68700004,3.3999998999999996
143,143,2014-09-30 10:19:09.801723968,288.73656,40.902182,0.7020000000000001,6.2
144,144,2014-09-30 10:19:10.838715072,288.716182,40.96298,0.71000004,6.43
145,145,2014-09-30 10:19:11.875708096,288.695775,41.023775,0.72400004,6.77
146,146,2014-09-30 10:19:12.912700864,288.675338,41.084567,0.87200004,7.12
147,147,2014-09-30 10:19:13.949691072,288.654872,41.145356,0.74200004,7.1099997
148,148,2014-09-30 10:19:14.986685056,288.634376,41.206143,0.74,6.6099997
250,250,2014-11-04 10:19:08.307230976,288.683329,41.082557,1.3219999999999998,6.1
251,251,2014-11-04 10:19:09.345278976,288.66285,41.143394,1.307,5.97
252,252,2014-11-04 10:19:10.383327936,288.642342,41.204228,1.1350001,5.8199997
282,282,2014-11-12 23:19:12.516033856,288.69795600000003,41.32545,0.81700003,4.63
283,283,2014-11-12 23:19:13.554080000,288.677391,41.264619,0.84800005,4.71
284,284,2014-11-12 23:19:14.592128064,288.656856,41.203784000000006,0.89400005,4.7599998
285,285,2014-11-12 23:19:15.629664896,288.636361,41.142976000000004,0.8220000000000001,4.45
286,286,2014-11-12 23:19:16.667184128,288.615896,41.082166,0.91300005,3.79
377,377,2014-12-09 10:19:03.312905088,288.734803,40.922764,3.5820003,14.519999499999999
378,378,2014-12-09 10:19:06.427047936,288.673521,41.105290000000004,3.0030002999999996,13.29
379,379,2014-12-09 10:19:08.503144000,288.632517,41.226959,2.8710000000000004,13.48
403,403,2014-12-17 23:19:10.037504896,288.681382,41.283970000000004,0.92800003,6.62
404,404,2014-12-17 23:19:11.073968896,288.660867,41.223211,0.94600004,7.02
405,405,2014-12-17 23:19:12.110434048,288.640382,41.16245,1.028,7.23
489,489,2015-01-13 10:19:01.042242048,288.731339,40.908583,1.8790001,12.389999000000001
490,490,2015-01-13 10:19:02.078705088,288.710972,40.969353000000005,1.7880001,12.4
491,491,2015-01-13 10:19:03.115170944,288.690576,41.030121,1.723,12.32
492,492,2015-01-13 10:19:04.151633024,288.67015,41.090886,1.588,11.96
493,493,2015-01-13 10:19:05.188097984,288.649694,41.151648,1.516,11.61
494,494,2015-01-13 10:19:06.224561920,288.629209,41.212407,1.3130001,11.45
513,513,2015-01-21 23:19:05.234975104,288.68442200000004,41.275085,0.78700006,4.44
514,514,2015-01-21 23:19:06.272494080,288.663895,41.214278,0.63900006,4.72
515,515,2015-01-21 23:19:07.310014976,288.643397,41.153468,0.629,4.8399997
516,516,2015-01-21 23:19:08.347533952,288.62293,41.092656,0.69000006,4.88
601,601,2015-02-17 10:18:58.444353088,288.718332,40.951501,0.76400006,5.65
602,602,2015-02-17 10:18:59.481345920,288.697936,41.012292,0.65300006,5.7599998
603,603,2015-02-17 10:19:02.592320896,288.636569,41.194648,0.56700003,5.0499997
617,617,2015-02-25 23:19:04.267600064,288.684978,41.296117,1.1159999999999999,7.4199996
618,618,2015-02-25 23:19:07.383039936,288.623388,41.113554,1.294,7.89
619,619,2015-02-25 23:19:08.421088960,288.602926,41.052719,1.3330001,7.81
703,703,2015-03-24 10:18:56.831305984,288.7096,40.965763,0.53900003,5.72
704,704,2015-03-24 10:18:57.869879936,288.689166,41.02663,0.43600002,5.6099997
705,705,2015-03-24 10:19:00.985609024,288.627683,41.209216,0.48900002,6.04
722,722,2015-04-01 23:19:01.516175040,288.684564,41.285474,0.708,5.6099997
723,723,2015-04-01 23:19:04.627152896,288.623063,41.103114,0.71500003,5.22
804,804,2015-04-28 10:18:54.726569920,288.710785,40.952213,0.86600006,7.48
805,805,2015-04-28 10:18:56.800555008,288.669951,41.073794,0.748,7.3799996
806,806,2015-04-28 10:18:57.837547072,288.64949,41.13458,0.77000004,7.1299996
824,824,2015-05-06 23:18:56.648180992,288.650747,41.128757,0.83400005,1.14
911,911,2015-06-02 10:18:26.800955072,288.766958,41.129614000000004,1.6430001,9.78
912,912,2015-06-02 10:18:27.837418048,288.74648199999996,41.190374,1.0450001,8.769999499999999
913,913,2015-06-02 10:18:28.873881088,288.725975,41.251131,1.003,8.07
914,914,2015-06-02 10:18:29.910347008,288.705439,41.311886,0.87500006,7.6499996
932,932,2015-06-10 23:18:24.614150976,288.812044,41.29056,1.0830001,4.71
933,933,2015-06-10 23:18:25.652196864,288.791494,41.229732,1.1110001,4.47
934,934,2015-06-10 23:18:26.690247040,288.770973,41.1689,1.0660001000000001,4.4
935,935,2015-06-10 23:18:27.728292928,288.75048300000003,41.108066,1.1040001,4.5299997
936,936,2015-06-10 23:18:28.766340992,288.730022,41.047228000000004,1.072,4.3199997
1037,1037,2015-07-07 10:18:13.771481984,288.862682,40.880281,0.878,3.1599998
1038,1038,2015-07-07 10:18:14.809531904,288.842298,40.941128000000006,0.7340000000000001,2.84
1039,1039,2015-07-07 10:18:17.923675072,288.780969,41.123651,0.698,2.87
1040,1040,2015-07-07 10:18:18.961724032,288.760466,41.184486,0.62700003,2.6699998
1041,1041,2015-07-07 10:18:19.999771136,288.739933,41.245318,0.53000003,2.57
1061,1061,2015-07-15 23:18:28.560478912,288.762131,41.260715000000005,1.595,1.88
1062,1062,2015-07-15 23:18:32.710560064,288.68021600000003,41.017473,1.4860001,2.71
1063,1063,2015-07-15 23:18:33.748080960,288.659812,40.956655,1.263,3.1799998
1159,1159,2015-08-11 10:18:45.634561984,288.640832,41.149208,1.0940001,6.0899997
1160,1160,2015-08-11 10:18:46.672610048,288.620319,41.210043,1.4310001,6.62
1183,1183,2015-08-19 23:18:43.195852992,288.69438399999996,41.299314,0.48400003,2.6399999
1184,1184,2015-08-19 23:18:44.232319104,288.673857,41.238558000000005,0.61300004,2.24
1185,1185,2015-08-19 23:18:46.305247040,288.632892,41.117039,0.51900005,1.9599999
1186,1186,2015-08-19 23:18:47.341708928,288.61245499999995,41.056276000000004,0.50100005,2.04
1299,1299,2015-09-15 10:18:35.133168000,288.722416,40.948494000000004,1.2409999999999999,8.19
1300,1300,2015-09-15 10:18:36.169629120,288.70203,41.009262,1.222,7.93
1301,1301,2015-09-15 10:18:37.206094976,288.681614,41.070027,1.1640000000000001,7.87
1302,1302,2015-09-15 10:18:38.242558016,288.66116800000003,41.130789,1.036,7.72
1303,1303,2015-09-15 10:18:39.279021952,288.640693,41.191548,1.0190000000000001,7.45
1327,1327,2015-09-23 23:18:40.319216000,288.68719300000004,41.289134000000004,1.0200001,3.9299998
1328,1328,2015-09-23 23:18:41.356736896,288.666655,41.228329,1.065,3.51
1329,1329,2015-09-23 23:18:42.394258048,288.64614700000004,41.16752,1.1190001,3.6
1330,1330,2015-09-23 23:18:43.431777024,288.625669,41.106709,1.245,3.8799998999999996
1331,1331,2015-09-23 23:18:44.469297856,288.60522000000003,41.045894,1.2060001,4.0
